etiqueta,nombre_clase
5,Sandalia
6,Camisa
7,Zapatilla
0,Camiseta/Top
6,Camisa
8,Bolso
7,Zapatilla
1,Pantalón
0,Camiseta/Top
3,Vestido
4,Abrigo
7,Zapatilla
5,Sandalia
2,Suéter
5,Sandalia
1,Pantalón
1,Pantalón
5,Sandalia
7,Zapatilla
5,Sandalia
1,Pantalón
4,Abrigo
9,Botín
6,Camisa
7,Zapatilla
5,Sandalia
7,Zapatilla
3,Vestido
8,Bolso
2,Suéter
9,Botín
4,Abrigo
2,Suéter
5,Sandalia
5,Sandalia
7,Zapatilla
4,Abrigo
2,Suéter
6,Camisa
9,Botín
0,Camiseta/Top
5,Sandalia
3,Vestido
6,Camisa
9,Botín
5,Sandalia
3,Vestido
6,Camisa
0,Camiseta/Top
3,Vestido
5,Sandalia
7,Zapatilla
1,Pantalón
2,Suéter
5,Sandalia
7,Zapatilla
8,Bolso
1,Pantalón
6,Camisa
3,Vestido
9,Botín
7,Zapatilla
7,Zapatilla
0,Camiseta/Top
4,Abrigo
0,Camiseta/Top
8,Bolso
7,Zapatilla
6,Camisa
9,Botín
0,Camiseta/Top
2,Suéter
7,Zapatilla
6,Camisa
0,Camiseta/Top
4,Abrigo
7,Zapatilla
4,Abrigo
1,Pantalón
2,Suéter
6,Camisa
7,Zapatilla
8,Bolso
2,Suéter
5,Sandalia
6,Camisa
0,Camiseta/Top
2,Suéter
9,Botín
8,Bolso
5,Sandalia
4,Abrigo
5,Sandalia
7,Zapatilla
3,Vestido
3,Vestido
9,Botín
8,Bolso
1,Pantalón
2,Suéter
2,Suéter
6,Camisa
1,Pantalón
0,Camiseta/Top
5,Sandalia
5,Sandalia
9,Botín
6,Camisa
8,Bolso
3,Vestido
5,Sandalia
0,Camiseta/Top
6,Camisa
8,Bolso
1,Pantalón
1,Pantalón
9,Botín
1,Pantalón
1,Pantalón
4,Abrigo
2,Suéter
7,Zapatilla
1,Pantalón
5,Sandalia
3,Vestido
4,Abrigo
9,Botín
7,Zapatilla
8,Bolso
0,Camiseta/Top
4,Abrigo
8,Bolso
9,Botín
1,Pantalón
9,Botín
3,Vestido
3,Vestido
3,Vestido
9,Botín
0,Camiseta/Top
9,Botín
1,Pantalón
2,Suéter
5,Sandalia
4,Abrigo
2,Suéter
8,Bolso
3,Vestido
8,Bolso
9,Botín
1,Pantalón
3,Vestido
2,Suéter
7,Zapatilla
0,Camiseta/Top
4,Abrigo
5,Sandalia
8,Bolso
9,Botín
2,Suéter
9,Botín
3,Vestido
3,Vestido
8,Bolso
1,Pantalón
7,Zapatilla
2,Suéter
7,Zapatilla
2,Suéter
0,Camiseta/Top
2,Suéter
0,Camiseta/Top
6,Camisa
7,Zapatilla
5,Sandalia
3,Vestido
6,Camisa
9,Botín
1,Pantalón
2,Suéter
5,Sandalia
8,Bolso
0,Camiseta/Top
5,Sandalia
9,Botín
6,Camisa
9,Botín
9,Botín
4,Abrigo
6,Camisa
6,Camisa
3,Vestido
9,Botín
8,Bolso
6,Camisa
1,Pantalón
0,Camiseta/Top
4,Abrigo
2,Suéter
6,Camisa
1,Pantalón
0,Camiseta/Top
0,Camiseta/Top
7,Zapatilla
7,Zapatilla
2,Suéter
3,Vestido
2,Suéter
0,Camiseta/Top
5,Sandalia
6,Camisa
4,Abrigo
9,Botín
3,Vestido
6,Camisa
8,Bolso
8,Bolso
6,Camisa
3,Vestido
8,Bolso
2,Suéter
7,Zapatilla
2,Suéter
4,Abrigo
7,Zapatilla
9,Botín
2,Suéter
3,Vestido
3,Vestido
9,Botín
1,Pantalón
6,Camisa
3,Vestido
8,Bolso
7,Zapatilla
2,Suéter
7,Zapatilla
1,Pantalón
4,Abrigo
1,Pantalón
6,Camisa
2,Suéter
6,Camisa
8,Bolso
1,Pantalón
6,Camisa
5,Sandalia
9,Botín
3,Vestido
7,Zapatilla
4,Abrigo
5,Sandalia
5,Sandalia
0,Camiseta/Top
6,Camisa
3,Vestido
0,Camiseta/Top
8,Bolso
4,Abrigo
1,Pantalón
9,Botín
9,Botín
7,Zapatilla
6,Camisa
8,Bolso
1,Pantalón
7,Zapatilla
0,Camiseta/Top
0,Camiseta/Top
1,Pantalón
6,Camisa
9,Botín
2,Suéter
4,Abrigo
2,Suéter
4,Abrigo
2,Suéter
7,Zapatilla
5,Sandalia
3,Vestido
6,Camisa
8,Bolso
4,Abrigo
9,Botín
7,Zapatilla
5,Sandalia
2,Suéter
8,Bolso
3,Vestido
5,Sandalia
1,Pantalón
4,Abrigo
3,Vestido
7,Zapatilla
7,Zapatilla
2,Suéter
1,Pantalón
1,Pantalón
6,Camisa
8,Bolso
0,Camiseta/Top
1,Pantalón
7,Zapatilla
9,Botín
2,Suéter
4,Abrigo
5,Sandalia
7,Zapatilla
2,Suéter
1,Pantalón
7,Zapatilla
7,Zapatilla
2,Suéter
2,Suéter
6,Camisa
5,Sandalia
0,Camiseta/Top
8,Bolso
7,Zapatilla
8,Bolso
5,Sandalia
5,Sandalia
7,Zapatilla
1,Pantalón
3,Vestido
5,Sandalia
0,Camiseta/Top
2,Suéter
2,Suéter
8,Bolso
9,Botín
6,Camisa
8,Bolso
5,Sandalia
6,Camisa
9,Botín
5,Sandalia
7,Zapatilla
7,Zapatilla
9,Botín
4,Abrigo
1,Pantalón
2,Suéter
2,Suéter
4,Abrigo
7,Zapatilla
8,Bolso
3,Vestido
5,Sandalia
6,Camisa
2,Suéter
6,Camisa
0,Camiseta/Top
9,Botín
9,Botín
2,Suéter
9,Botín
5,Sandalia
2,Suéter
2,Suéter
4,Abrigo
2,Suéter
0,Camiseta/Top
7,Zapatilla
6,Camisa
2,Suéter
4,Abrigo
5,Sandalia
3,Vestido
4,Abrigo
4,Abrigo
4,Abrigo
1,Pantalón
2,Suéter
1,Pantalón
6,Camisa
8,Bolso
2,Suéter
3,Vestido
5,Sandalia
7,Zapatilla
4,Abrigo
3,Vestido
5,Sandalia
1,Pantalón
6,Camisa
0,Camiseta/Top
5,Sandalia
3,Vestido
3,Vestido
2,Suéter
4,Abrigo
9,Botín
1,Pantalón
8,Bolso
7,Zapatilla
5,Sandalia
9,Botín
4,Abrigo
0,Camiseta/Top
7,Zapatilla
0,Camiseta/Top
3,Vestido
9,Botín
2,Suéter
5,Sandalia
0,Camiseta/Top
7,Zapatilla
5,Sandalia
0,Camiseta/Top
4,Abrigo
5,Sandalia
5,Sandalia
3,Vestido
4,Abrigo
8,Bolso
4,Abrigo
2,Suéter
4,Abrigo
9,Botín
1,Pantalón
8,Bolso
4,Abrigo
0,Camiseta/Top
3,Vestido
0,Camiseta/Top
4,Abrigo
0,Camiseta/Top
4,Abrigo
9,Botín
1,Pantalón
8,Bolso
8,Bolso
1,Pantalón
9,Botín
5,Sandalia
4,Abrigo
5,Sandalia
4,Abrigo
9,Botín
4,Abrigo
6,Camisa
5,Sandalia
2,Suéter
6,Camisa
5,Sandalia
1,Pantalón
7,Zapatilla
6,Camisa
8,Bolso
3,Vestido
6,Camisa
6,Camisa
4,Abrigo
3,Vestido
8,Bolso
2,Suéter
5,Sandalia
8,Bolso
3,Vestido
5,Sandalia
4,Abrigo
1,Pantalón
1,Pantalón
6,Camisa
3,Vestido
5,Sandalia
3,Vestido
9,Botín
2,Suéter
2,Suéter
6,Camisa
8,Bolso
6,Camisa
8,Bolso
8,Bolso
3,Vestido
2,Suéter
2,Suéter
8,Bolso
8,Bolso
7,Zapatilla
4,Abrigo
9,Botín
2,Suéter
1,Pantalón
6,Camisa
2,Suéter
0,Camiseta/Top
6,Camisa
7,Zapatilla
2,Suéter
1,Pantalón
4,Abrigo
0,Camiseta/Top
1,Pantalón
3,Vestido
1,Pantalón
3,Vestido
8,Bolso
7,Zapatilla
5,Sandalia
2,Suéter
4,Abrigo
3,Vestido
5,Sandalia
4,Abrigo
2,Suéter
0,Camiseta/Top
7,Zapatilla
1,Pantalón
8,Bolso
7,Zapatilla
6,Camisa
9,Botín
9,Botín
6,Camisa
6,Camisa
0,Camiseta/Top
4,Abrigo
7,Zapatilla
4,Abrigo
0,Camiseta/Top
4,Abrigo
5,Sandalia
5,Sandalia
2,Suéter
5,Sandalia
0,Camiseta/Top
5,Sandalia
4,Abrigo
2,Suéter
5,Sandalia
3,Vestido
8,Bolso
7,Zapatilla
6,Camisa
5,Sandalia
2,Suéter
7,Zapatilla
2,Suéter
5,Sandalia
9,Botín
3,Vestido
7,Zapatilla
7,Zapatilla
1,Pantalón
3,Vestido
3,Vestido
7,Zapatilla
2,Suéter
7,Zapatilla
4,Abrigo
5,Sandalia
2,Suéter
5,Sandalia
5,Sandalia
3,Vestido
0,Camiseta/Top
3,Vestido
3,Vestido
1,Pantalón
4,Abrigo
9,Botín
5,Sandalia
9,Botín
8,Bolso
3,Vestido
4,Abrigo
6,Camisa
6,Camisa
0,Camiseta/Top
7,Zapatilla
8,Bolso
5,Sandalia
7,Zapatilla
7,Zapatilla
0,Camiseta/Top
9,Botín
3,Vestido
1,Pantalón
3,Vestido
4,Abrigo
8,Bolso
9,Botín
5,Sandalia
8,Bolso
0,Camiseta/Top
5,Sandalia
7,Zapatilla
2,Suéter
3,Vestido
6,Camisa
6,Camisa
3,Vestido
5,Sandalia
2,Suéter
1,Pantalón
1,Pantalón
7,Zapatilla
1,Pantalón
0,Camiseta/Top
1,Pantalón
7,Zapatilla
3,Vestido
9,Botín
1,Pantalón
1,Pantalón
3,Vestido
3,Vestido
6,Camisa
1,Pantalón
1,Pantalón
2,Suéter
0,Camiseta/Top
7,Zapatilla
1,Pantalón
9,Botín
6,Camisa
6,Camisa
5,Sandalia
8,Bolso
8,Bolso
0,Camiseta/Top
0,Camiseta/Top
8,Bolso
9,Botín
9,Botín
4,Abrigo
9,Botín
8,Bolso
2,Suéter
1,Pantalón
1,Pantalón
0,Camiseta/Top
4,Abrigo
5,Sandalia
7,Zapatilla
8,Bolso
1,Pantalón
3,Vestido
6,Camisa
3,Vestido
2,Suéter
9,Botín
0,Camiseta/Top
1,Pantalón
3,Vestido
8,Bolso
4,Abrigo
9,Botín
7,Zapatilla
1,Pantalón
9,Botín
9,Botín
3,Vestido
1,Pantalón
3,Vestido
0,Camiseta/Top
3,Vestido
6,Camisa
9,Botín
9,Botín
1,Pantalón
1,Pantalón
5,Sandalia
2,Suéter
1,Pantalón
7,Zapatilla
9,Botín
5,Sandalia
9,Botín
1,Pantalón
5,Sandalia
9,Botín
4,Abrigo
8,Bolso
7,Zapatilla
7,Zapatilla
0,Camiseta/Top
7,Zapatilla
8,Bolso
9,Botín
6,Camisa
2,Suéter
7,Zapatilla
2,Suéter
0,Camiseta/Top
0,Camiseta/Top
9,Botín
4,Abrigo
6,Camisa
2,Suéter
2,Suéter
8,Bolso
2,Suéter
7,Zapatilla
0,Camiseta/Top
3,Vestido
4,Abrigo
6,Camisa
0,Camiseta/Top
2,Suéter
1,Pantalón
2,Suéter
8,Bolso
0,Camiseta/Top
7,Zapatilla
3,Vestido
3,Vestido
8,Bolso
9,Botín
8,Bolso
2,Suéter
9,Botín
4,Abrigo
8,Bolso
6,Camisa
3,Vestido
7,Zapatilla
0,Camiseta/Top
5,Sandalia
8,Bolso
1,Pantalón
6,Camisa
7,Zapatilla
8,Bolso
2,Suéter
8,Bolso
1,Pantalón
7,Zapatilla
2,Suéter
0,Camiseta/Top
8,Bolso
3,Vestido
9,Botín
1,Pantalón
9,Botín
0,Camiseta/Top
2,Suéter
6,Camisa
1,Pantalón
8,Bolso
6,Camisa
5,Sandalia
0,Camiseta/Top
4,Abrigo
2,Suéter
2,Suéter
2,Suéter
2,Suéter
3,Vestido
3,Vestido
4,Abrigo
1,Pantalón
9,Botín
5,Sandalia
9,Botín
4,Abrigo
6,Camisa
8,Bolso
9,Botín
3,Vestido
1,Pantalón
2,Suéter
3,Vestido
9,Botín
8,Bolso
1,Pantalón
5,Sandalia
1,Pantalón
8,Bolso
3,Vestido
4,Abrigo
1,Pantalón
1,Pantalón
7,Zapatilla
4,Abrigo
1,Pantalón
0,Camiseta/Top
0,Camiseta/Top
3,Vestido
6,Camisa
9,Botín
1,Pantalón
6,Camisa
8,Bolso
4,Abrigo
7,Zapatilla
4,Abrigo
5,Sandalia
3,Vestido
4,Abrigo
3,Vestido
7,Zapatilla
7,Zapatilla
0,Camiseta/Top
6,Camisa
9,Botín
7,Zapatilla
2,Suéter
1,Pantalón
3,Vestido
9,Botín
1,Pantalón
0,Camiseta/Top
1,Pantalón
8,Bolso
1,Pantalón
9,Botín
8,Bolso
9,Botín
3,Vestido
4,Abrigo
1,Pantalón
4,Abrigo
6,Camisa
9,Botín
7,Zapatilla
2,Suéter
6,Camisa
4,Abrigo
1,Pantalón
6,Camisa
9,Botín
0,Camiseta/Top
5,Sandalia
4,Abrigo
7,Zapatilla
0,Camiseta/Top
6,Camisa
5,Sandalia
5,Sandalia
7,Zapatilla
7,Zapatilla
0,Camiseta/Top
9,Botín
6,Camisa
9,Botín
5,Sandalia
8,Bolso
1,Pantalón
3,Vestido
6,Camisa
7,Zapatilla
9,Botín
0,Camiseta/Top
3,Vestido
5,Sandalia
1,Pantalón
2,Suéter
1,Pantalón
7,Zapatilla
3,Vestido
6,Camisa
4,Abrigo
9,Botín
8,Bolso
2,Suéter
1,Pantalón
3,Vestido
8,Bolso
3,Vestido
4,Abrigo
3,Vestido
4,Abrigo
9,Botín
5,Sandalia
4,Abrigo
5,Sandalia
3,Vestido
1,Pantalón
8,Bolso
7,Zapatilla
8,Bolso
9,Botín
2,Suéter
6,Camisa
4,Abrigo
5,Sandalia
7,Zapatilla
5,Sandalia
4,Abrigo
1,Pantalón
5,Sandalia
3,Vestido
8,Bolso
2,Suéter
6,Camisa
